stem,prompt,language,generator,seed,overall
001-fizzbuzz__tyra+spec__claude__s1,001-fizzbuzz,tyra+spec,claude,1,pass
001-fizzbuzz__tyra+spec__claude__s2,001-fizzbuzz,tyra+spec,claude,2,pass
001-fizzbuzz__tyra+spec__claude__s3,001-fizzbuzz,tyra+spec,claude,3,pass
002-word-count__tyra+spec__claude__s1,002-word-count,tyra+spec,claude,1,pass
002-word-count__tyra+spec__claude__s2,002-word-count,tyra+spec,claude,2,pass
002-word-count__tyra+spec__claude__s3,002-word-count,tyra+spec,claude,3,pass
003-option-chain__tyra+spec__claude__s1,003-option-chain,tyra+spec,claude,1,pass
003-option-chain__tyra+spec__claude__s2,003-option-chain,tyra+spec,claude,2,pass
003-option-chain__tyra+spec__claude__s3,003-option-chain,tyra+spec,claude,3,pass
004-state-machine__tyra+spec__claude__s1,004-state-machine,tyra+spec,claude,1,pass
004-state-machine__tyra+spec__claude__s2,004-state-machine,tyra+spec,claude,2,pass
004-state-machine__tyra+spec__claude__s3,004-state-machine,tyra+spec,claude,3,pass
005-sum-list__tyra+spec__claude__s1,005-sum-list,tyra+spec,claude,1,pass
005-sum-list__tyra+spec__claude__s2,005-sum-list,tyra+spec,claude,2,pass
005-sum-list__tyra+spec__claude__s3,005-sum-list,tyra+spec,claude,3,pass
006-factorial__tyra+spec__claude__s1,006-factorial,tyra+spec,claude,1,compile_fail
006-factorial__tyra+spec__claude__s2,006-factorial,tyra+spec,claude,2,compile_fail
006-factorial__tyra+spec__claude__s3,006-factorial,tyra+spec,claude,3,pass
007-gcd__tyra+spec__claude__s1,007-gcd,tyra+spec,claude,1,pass
007-gcd__tyra+spec__claude__s2,007-gcd,tyra+spec,claude,2,pass
007-gcd__tyra+spec__claude__s3,007-gcd,tyra+spec,claude,3,pass
008-reverse-string__tyra+spec__claude__s1,008-reverse-string,tyra+spec,claude,1,pass
008-reverse-string__tyra+spec__claude__s2,008-reverse-string,tyra+spec,claude,2,pass
008-reverse-string__tyra+spec__claude__s3,008-reverse-string,tyra+spec,claude,3,pass
009-palindrome__tyra+spec__claude__s1,009-palindrome,tyra+spec,claude,1,pass
009-palindrome__tyra+spec__claude__s2,009-palindrome,tyra+spec,claude,2,pass
009-palindrome__tyra+spec__claude__s3,009-palindrome,tyra+spec,claude,3,pass
010-count-vowels__tyra+spec__claude__s1,010-count-vowels,tyra+spec,claude,1,compile_fail
010-count-vowels__tyra+spec__claude__s2,010-count-vowels,tyra+spec,claude,2,pass
010-count-vowels__tyra+spec__claude__s3,010-count-vowels,tyra+spec,claude,3,compile_fail
011-unique-sorted__tyra+spec__claude__s1,011-unique-sorted,tyra+spec,claude,1,compile_fail
011-unique-sorted__tyra+spec__claude__s2,011-unique-sorted,tyra+spec,claude,2,compile_fail
011-unique-sorted__tyra+spec__claude__s3,011-unique-sorted,tyra+spec,claude,3,pass
012-max-min__tyra+spec__claude__s1,012-max-min,tyra+spec,claude,1,pass
012-max-min__tyra+spec__claude__s2,012-max-min,tyra+spec,claude,2,pass
012-max-min__tyra+spec__claude__s3,012-max-min,tyra+spec,claude,3,pass
013-parse-int-safe__tyra+spec__claude__s1,013-parse-int-safe,tyra+spec,claude,1,pass
013-parse-int-safe__tyra+spec__claude__s2,013-parse-int-safe,tyra+spec,claude,2,pass
013-parse-int-safe__tyra+spec__claude__s3,013-parse-int-safe,tyra+spec,claude,3,pass
014-result-chain__tyra+spec__claude__s1,014-result-chain,tyra+spec,claude,1,pass
014-result-chain__tyra+spec__claude__s2,014-result-chain,tyra+spec,claude,2,pass
014-result-chain__tyra+spec__claude__s3,014-result-chain,tyra+spec,claude,3,pass
015-shape-area__tyra+spec__claude__s1,015-shape-area,tyra+spec,claude,1,pass
015-shape-area__tyra+spec__claude__s2,015-shape-area,tyra+spec,claude,2,pass
015-shape-area__tyra+spec__claude__s3,015-shape-area,tyra+spec,claude,3,pass
016-expr-eval__tyra+spec__claude__s1,016-expr-eval,tyra+spec,claude,1,compile_fail
016-expr-eval__tyra+spec__claude__s2,016-expr-eval,tyra+spec,claude,2,compile_fail
016-expr-eval__tyra+spec__claude__s3,016-expr-eval,tyra+spec,claude,3,pass
017-key-value-lookup__tyra+spec__claude__s1,017-key-value-lookup,tyra+spec,claude,1,pass
017-key-value-lookup__tyra+spec__claude__s2,017-key-value-lookup,tyra+spec,claude,2,pass
017-key-value-lookup__tyra+spec__claude__s3,017-key-value-lookup,tyra+spec,claude,3,pass
018-count-positive__tyra+spec__claude__s1,018-count-positive,tyra+spec,claude,1,exec_fail
018-count-positive__tyra+spec__claude__s2,018-count-positive,tyra+spec,claude,2,pass
018-count-positive__tyra+spec__claude__s3,018-count-positive,tyra+spec,claude,3,pass
019-first-non-empty__tyra+spec__claude__s1,019-first-non-empty,tyra+spec,claude,1,pass
019-first-non-empty__tyra+spec__claude__s2,019-first-non-empty,tyra+spec,claude,2,pass
019-first-non-empty__tyra+spec__claude__s3,019-first-non-empty,tyra+spec,claude,3,pass
020-echo-args__tyra+spec__claude__s1,020-echo-args,tyra+spec,claude,1,pass
020-echo-args__tyra+spec__claude__s2,020-echo-args,tyra+spec,claude,2,pass
020-echo-args__tyra+spec__claude__s3,020-echo-args,tyra+spec,claude,3,pass
021-sum-evens__tyra+spec__claude__s1,021-sum-evens,tyra+spec,claude,1,pass
021-sum-evens__tyra+spec__claude__s2,021-sum-evens,tyra+spec,claude,2,pass
021-sum-evens__tyra+spec__claude__s3,021-sum-evens,tyra+spec,claude,3,pass
022-linear-search__tyra+spec__claude__s1,022-linear-search,tyra+spec,claude,1,pass
022-linear-search__tyra+spec__claude__s2,022-linear-search,tyra+spec,claude,2,pass
022-linear-search__tyra+spec__claude__s3,022-linear-search,tyra+spec,claude,3,compile_fail
023-repeat-string__tyra+spec__claude__s1,023-repeat-string,tyra+spec,claude,1,pass
023-repeat-string__tyra+spec__claude__s2,023-repeat-string,tyra+spec,claude,2,pass
023-repeat-string__tyra+spec__claude__s3,023-repeat-string,tyra+spec,claude,3,pass
024-uppercase-ascii__tyra+spec__claude__s1,024-uppercase-ascii,tyra+spec,claude,1,pass
024-uppercase-ascii__tyra+spec__claude__s2,024-uppercase-ascii,tyra+spec,claude,2,pass
024-uppercase-ascii__tyra+spec__claude__s3,024-uppercase-ascii,tyra+spec,claude,3,pass
025-average__tyra+spec__claude__s1,025-average,tyra+spec,claude,1,pass
025-average__tyra+spec__claude__s2,025-average,tyra+spec,claude,2,pass
025-average__tyra+spec__claude__s3,025-average,tyra+spec,claude,3,exec_fail
026-count-lines__tyra+spec__claude__s1,026-count-lines,tyra+spec,claude,1,pass
026-count-lines__tyra+spec__claude__s2,026-count-lines,tyra+spec,claude,2,pass
026-count-lines__tyra+spec__claude__s3,026-count-lines,tyra+spec,claude,3,pass
027-fizzbuzz-string__tyra+spec__claude__s1,027-fizzbuzz-string,tyra+spec,claude,1,pass
027-fizzbuzz-string__tyra+spec__claude__s2,027-fizzbuzz-string,tyra+spec,claude,2,pass
027-fizzbuzz-string__tyra+spec__claude__s3,027-fizzbuzz-string,tyra+spec,claude,3,pass
028-range-sum__tyra+spec__claude__s1,028-range-sum,tyra+spec,claude,1,pass
028-range-sum__tyra+spec__claude__s2,028-range-sum,tyra+spec,claude,2,pass
